3.543	7.54	10.534	0.683	0.716	0.713	0.672	
2.647	6.986	9.713	0.721	0.748	0.288	0.268	
4.346	7.61	10.122	0.579	0.312	0.602	0.266	
4.932	6.986	9.522	0.264	0.347	0.694	0.317	
3.175	7.2	10.481	0.598	0.469	0.72	0.65	
4.473	6.019	10.504	0.421	0.581	0.21	0.442	
3.526	7.811	10.315	0.587	0.593	0.403	0.256	
3.816	7.376	10.535	0.506	0.66	0.221	0.283	
3.177	6.357	11.756	0.426	0.713	0.531	0.467	
4.138	8.694	11.617	0.785	0.357	0.42	0.208	
2.889	7.739	9.626	0.791	0.61	0.486	0.254	
3.054	7.301	10.049	0.533	0.793	0.371	0.568	
2.324	6.457	11.042	0.392	0.322	0.248	0.471	
2.241	8.746	9.803	0.411	0.632	0.654	0.534	
2.096	7.458	11.833	0.594	0.435	0.224	0.524	
2.488	6.672	11.654	0.637	0.764	0.778	0.244	
2.5	7.684	10.078	0.511	0.327	0.579	0.416	
3.531	7.946	10.294	0.344	0.276	0.269	0.449	
2.073	8.236	10.117	0.502	0.28	0.759	0.207	
2.349	8.901	9.655	0.273	0.712	0.746	0.643	
4.381	7.399	10.403	0.585	0.321	0.257	0.48	
4.23	6.765	10.386	0.414	0.223	0.4	0.764	
4.354	8.025	10.802	0.342	0.296	0.252	0.699	
4.059	7.335	9.94	0.728	0.573	0.358	0.391	
2.437	7.691	11.476	0.379	0.695	0.206	0.411	
4.993	8.754	11.172	0.632	0.723	0.697	0.209	
4.587	6.896	11.356	0.722	0.293	0.649	0.684	
4.896	8.781	10.721	0.543	0.407	0.351	0.747	
3.35	6.295	11.141	0.206	0.623	0.648	0.532	
2.08	8.63	11.577	0.43	0.235	0.37	0.678	
3.323	8.442	10.351	0.207	0.593	0.709	0.647	
3.687	7.976	11.895	0.698	0.423	0.227	0.361	
3.569	8.758	11.268	0.38	0.745	0.213	0.235	
2.878	7.248	10.619	0.373	0.275	0.588	0.213	
2.961	6.648	10.312	0.593	0.654	0.202	0.526	
3.136	8.074	11.381	0.726	0.648	0.339	0.74	
2.934	6.903	10.505	0.333	0.406	0.216	0.798	
3.292	8.899	9.555	0.349	0.71	0.726	0.784	
2.179	6.322	11.854	0.2	0.398	0.561	0.555	
2.813	6.478	10.191	0.372	0.787	0.682	0.662	
4.25	6.017	10.96	0.732	0.511	0.317	0.295	
4.463	8.439	11.753	0.623	0.221	0.757	0.614	
3.506	7.813	11.931	0.354	0.683	0.468	0.642	
3.929	6.321	9.938	0.671	0.746	0.64	0.49	
2.244	7.581	10.375	0.671	0.367	0.735	0.785	
4.759	6.583	11.284	0.2	0.358	0.283	0.602	
4.727	7.209	10.592	0.505	0.303	0.647	0.401	
4.085	8.506	11.231	0.577	0.34	0.221	0.265	
3.697	7.449	10.366	0.251	0.527	0.402	0.539	
3.356	6.263	9.732	0.7	0.436	0.594	0.52	
3.46	7.113	9.674	0.328	0.753	0.45	0.268	
4.818	6.981	10.616	0.481	0.508	0.471	0.729	
2.264	8.843	11.286	0.605	0.302	0.285	0.419	
2.582	8.107	10.709	0.635	0.256	0.738	0.776	
4.924	8.794	11.837	0.526	0.663	0.298	0.285	
2.578	8.317	10.912	0.233	0.715	0.279	0.343	
